GameDate,location,team,city,state,OffenseTeam,year,month,day,rain,snow
2015-10-11,New York Giants,New York Giants,East_Rutherford,NJ,NYG,2015,10,11,0,0
2015-10-11,Philadelphia Eagles,Philadelphia Eagles,Philadelphia,PA,PHI,2015,10,11,0,0
2015-10-11,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015,10,11,0,0
2015-10-11,Detroit Lions,Detroit Lions,Detroit,MI,DET,2015,10,11,0,0
2015-10-11,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015,10,11,0,0
2015-10-11,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015,10,11,0,0
2015-10-11,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015,10,11,0,0
2015-10-11,Green Bay Packers,Green Bay Packers,Green_Bay,WI,GB,2015,10,11,0,0
2015-10-12,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015,10,12,0,0
2015-11-01,Chicago Bears,Chicago Bears,Chicago,IL,CHI,2015,11,01,0,0
2015-11-01,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015,11,01,1,0
2015-11-01,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2015,11,01,0,0
2015-11-01,Oakland Raiders,Oakland Raiders,Oakland,CA,OAK,2015,11,01,1,0
2015-11-01,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015,11,01,1,0
2015-11-01,Denver Broncos,Denver Broncos,Denver,CO,DEN,2015,11,01,0,0
2015-11-01,Houston Texans,Houston Texans,Houston,TX,HOU,2015,11,01,0,0
2015-11-01,Kansas City Chiefs,Kansas City Chiefs,Kansas_City,MO,KC,2015,11,01,0,0
2015-11-01,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2015,11,01,1,0
2015-11-01,Baltimore Ravens,Baltimore Ravens,Baltimore,MD,BAL,2015,11,01,0,0
2015-11-01,Atlanta Falcons,Atlanta Falcons,Atlanta,GA,ATL,2015,11,01,1,0
2015-11-01,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015,11,01,1,0
2015-11-02,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2015,11,02,1,0
2015-11-05,Cincinnati Bengals,Cincinnati Bengals,Cincinnati,OH,CIN,2015,11,05,1,0
2015-11-08,Dallas Cowboys,Dallas Cowboys,Arlington,TX,DAL,2015,11,08,1,0
2015-11-08,Buffalo Bills,Buffalo Bills,Orchard_Park,NY,BUF,2015,11,08,0,0
2015-11-08,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2015,11,08,0,0
2015-11-08,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2015,11,08,0,0
2015-11-08,New England Patriots,New England Patriots,Foxboro,MA,NE,2015,11,08,0,0
2015-11-08,Carolina Panthers,Carolina Panthers,Charlotte,NC,CAR,2015,11,08,1,0
2015-11-08,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015,11,08,1,0
2015-11-08,Indianapolis Colts,Indianapolis Colts,Indianapolis,IN,IND,2015,11,08,0,0
2015-11-08,San Francisco 49ers,San Francisco 49ers,Santa_Clara,CA,SF,2015,11,08,1,0
2015-11-08,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015,11,08,1,0
2015-11-08,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh,PA,PIT,2015,11,08,0,0
2015-11-09,San Diego Chargers,San Diego Chargers,San_Diego,CA,SD,2015,11,09,1,0
2015-11-12,New York Jets,New York Jets,East_Rutherford,NJ,NYJ,2015,11,12,1,0
2015-12-03,Detroit Lions,Detroit Lions,Detroit,MI,DET,2015,12,03,0,1
2015-12-06,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Tampa,FL,TB,2015,12,06,0,0
2015-12-06,Cleveland Browns,Cleveland Browns,Cleveland,OH,CLE,2015,12,06,0,0
2015-12-06,New Orleans Saints,New Orleans Saints,New_Orleans,LA,NO,2015,12,06,0,0
2015-12-06,St. Louis Rams,St. Louis Rams,St_Louis,MO,STL,2015,12,06,0,0
2015-12-06,Tennessee Titans,Tennessee Titans,Nashville,TN,TEN,2015,12,06,0,0
2015-12-06,Minnesota Vikings,Minnesota Vikings,Minneapolis,MN,MIN,2015,12,06,0,0
